名称,営業日,住所,アクセス
横浜ロイヤルパークホテル スカイラウンジ シリウス,月～金、祝前日: 11:30～15:10 （料理L.O. 13:30 ドリンクL.O. 14:30）17:30～22:30 （料理L.O. 20:30 ドリンクL.O. 21:30）土、日、祝日: 11:30～15:40 （料理L.O. 14:00 ドリンクL.O. 14:30）17:30～22:30 （料理L.O. 20:30 ドリンクL.O. 21:30）,神奈川県横浜市西区みなとみらい２－２－１－３,みなとみらい線「みなとみらい駅」より徒歩３分／ＪＲ・市営地下鉄「桜木町駅」より徒歩５分
ヘミングウェイ みなとみらい店,月～日、祝日、祝前日: 11:00～21:00 （料理L.O. 20:00 ドリンクL.O. 20:00）,神奈川県横浜市西区みなとみらい２-1-1,みなとみらい駅　徒歩5分/みなとみらい駅から474m/桜木町駅 南改札出て東口　徒歩5分
ゴルフバー バックナイン BACK9,月～金、祝前日: 14:00～翌0:00 （料理L.O. 翌0:00 ドリンクL.O. 翌0:00）土: 11:00～翌0:00 （料理L.O. 翌0:00 ドリンクL.O. 翌0:00）日、祝日: 11:00～20:00 （料理L.O. 20:00 ドリンクL.O. 20:00）,神奈川県横浜市中区相生町３-53　ＧＰビルＢ１Ｆ,【関内駅より徒歩5分】【馬車道駅より徒歩6分】【日本大通り駅より徒歩10分】
BURNISH,月～土、祝日、祝前日: 20:00～翌5:00 （料理L.O. 翌4:00 ドリンクL.O. 翌4:00）,神奈川県横浜市中区常盤町３-22  関内福島ビル4階,横浜市営地下鉄ブルーライン関内駅出口３より徒歩約2分/みなとみらい線馬車道駅７出口より徒歩約9分
Baseball Hub まるは,火～日、祝日、祝前日: 17:00～23:30 （料理L.O. 23:00 ドリンクL.O. 23:00）,神奈川県横浜市中区常盤町２-15 三洋ビル103,横浜市営地下鉄ブルーライン関内駅出口１より徒歩約3分/ＪＲ京浜東北・根岸線関内駅南口より徒歩約5分
シーシャカフェ CHILL TIGER 関内店,月～日、祝日、祝前日: 14:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）,神奈川県横浜市中区不老町１-6-8 ポートサイドビル 6F,根岸線関内駅より徒歩約３分★(ＪＲ京浜東北・南口)
バームーンウォーク bar moon walk 桜木町店,月～日、祝日、祝前日: 17:00～21:00 （料理L.O. 20:00 ドリンクL.O. 20:00）,神奈川県横浜市中区花咲町１番43号,桜木町駅　徒歩１分
ディスカス Discus,月～土、祝前日: 16:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）,神奈川県横浜市中区常盤町４-52文乃家ビル1Ｆ,【ＪＲ関内駅北口より徒歩2分】【地下鉄9番出口より徒歩1分】【みなとみらい線馬車道駅5番出口より徒歩5分】
ジャムセカンド,月～日、祝日、祝前日: 18:00～翌0:00 （料理L.O. 23:30 ドリンクL.O. 23:30）,神奈川県横浜市中区花咲町２-68-4  ジャムセカンド　3階,桜木町駅徒歩3分、馬車道駅徒歩7分、日ノ出町駅徒歩7分
JC's BAR,月～土、祝日、祝前日: 14:00～翌1:00,神奈川県横浜市中区山下町161-10,ＪＲ京浜東北・根岸線石川町駅中華街口より徒歩約7分
60Hz,火～日、祝日、祝前日: 18:00～23:00 （料理L.O. 23:00 ドリンクL.O. 23:00）,神奈川県横浜市中区宮川町１-1 都橋商店街127,横浜市営地下鉄桜木町駅より徒歩6分/京急本線日ノ出町駅より徒歩7分/横浜市営地下鉄関内駅より徒歩9分
Wine Cave Raise,月～金: 18:00～翌3:00土: 18:00～23:00祝前日: 17:00～翌3:00,神奈川県横浜市中区弁天通３-41　横浜エクセレントII303,みなとみらい線馬車道駅７出口より徒歩約5分
Blue Light Bar ブルーライトバー,月～日、祝日、祝前日: 17:00～翌3:00,神奈川県横浜市中区尾上町５-70ザ・バレル源平ビル301,ＪＲ京浜東北・根岸線関内駅北口より徒歩約3分/みなとみらい線馬車道駅７出口より徒歩約9分
